Client Name:,Bushy Tails,Job Number:,DUMMY-2026-0005-01,,,,,,,,,,,,,,,,,,,,
Site Name:,Bristol,Report From:,,To:,,,,,,,,,,,,,,,,,,,
Data Files:,"2025-DESNZ-Conversion-Factors-Activity 2025, 2025-DESNZ-Conversion-Factors-Activity 2025, 2022-DEFRA-Conversion-Factors-Spend 2022",,,,,,,,,,,,,,,,,,,,,,
Scope,Category,Report Label,ID,UOM,GHG Unit,Factor, Qty , [Mth1] , [Mth2] , [Mth3] , [Mth4] , [Mth5] , [Mth6] , [Mth7] , [Mth8] , [Mth9] , [Mth10] , [Mth11] , [Mth12] , tCO2e , Apply , tCO2e ,Notes
Scope 3,Purchased Goods & Services,"Cement, lime, plaster and concrete    ",SPEND-SIC-2022-23.5-6,GBP,kg CO2e,2.152789969,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,"Glass, refractory, clay and porcelain products",SPEND-SIC-2022-23OTHER,GBP,kg CO2e,1.763201248,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Basic iron and steel            ,SPEND-SIC-2022-24.1-3,GBP,kg CO2e,0.768529346,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Other basic metals and casting           ,SPEND-SIC-2022-24.4-5,GBP,kg CO2e,0.020727388,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Weapons and ammunition             ,SPEND-SIC-2022-25.4,GBP,kg CO2e,0.512694237,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Other manufactured goods             ,SPEND-SIC-2022-32,GBP,kg CO2e,0.703887008,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Repair and maintenance of ships and boats         ,SPEND-SIC-2022-33.15,GBP,kg CO2e,0.183419404,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Repair and maintenance of aircraft and spacecraft         ,SPEND-SIC-2022-33.16,GBP,kg CO2e,0.095692946,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Rest of repair and iInstallation,SPEND-SIC-2022-33OTHER,GBP,kg CO2e,0.331312349,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,"Electricity, transmission and distribution            ",SPEND-SIC-2022-35.1,GBP,kg CO2e,1.358981385,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,"Gas, distribution of gas through mains, steam and air conditioning supply    ",SPEND-SIC-2022-35.2-3,GBP,kg CO2e,1.267949019,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Natural water; water treatment and supply services         ,SPEND-SIC-2022-36,GBP,kg CO2e,0.216720078,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Sewerage services; sewage sludge            ,SPEND-SIC-2022-37,GBP,kg CO2e,0.382658284,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,"Waste collection, treatment and disposal services; materials recovery services       ",SPEND-SIC-2022-38,GBP,kg CO2e,1.360345978,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Remediation services and other waste management services         ,SPEND-SIC-2022-39,GBP,kg CO2e,0.191485177,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Buildings and building construction works           ,SPEND-SIC-2022-41.2,GBP,kg CO2e,0.280106663,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Constructions and construction works for civil engineering         ,SPEND-SIC-2022-42.1-2,GBP,kg CO2e,0.32603907,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Specialised construction works             ,SPEND-SIC-2022-42.99,GBP,kg CO2e,0.272928549,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Wholesale and retail trade and repair services of motor vehicles and motorcycles    ,SPEND-SIC-2022-45,GBP,kg CO2e,0.295857564,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,"Wholesale trade services, except of motor vehicles and motorcycles       ",SPEND-SIC-2022-46,GBP,kg CO2e,3.895282482,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,"Retail trade services, except of motor vehicles and motorcycles       ",SPEND-SIC-2022-47,GBP,kg CO2e,0.327801249,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Rail transport services             ,SPEND-SIC-2022-49.1-2,GBP,kg CO2e,0.47245389,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Water transport services             ,SPEND-SIC-2022-50,GBP,kg CO2e,1.779738285,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Air transport services             ,SPEND-SIC-2022-51,GBP,kg CO2e,1.788293817,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Warehousing and support services for transportation          ,SPEND-SIC-2022-52,GBP,kg CO2e,0.398584407,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Postal and courier services            ,SPEND-SIC-2022-53,GBP,kg CO2e,0.261866616,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Accommodation services              ,SPEND-SIC-2022-55,GBP,kg CO2e,0.249481551,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Food and beverage serving services           ,SPEND-SIC-2022-56,GBP,kg CO2e,0.291929906,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Publishing services              ,SPEND-SIC-2022-58,GBP,kg CO2e,0.112404681,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,"Motion picture, video and TV programme production services, sound recording & music publishing   ",SPEND-SIC-2022-59,GBP,kg CO2e,0.122442685,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Programming and broadcasting services            ,SPEND-SIC-2022-60,GBP,kg CO2e,0.183230671,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Telecommunications services              ,SPEND-SIC-2022-61,GBP,kg CO2e,0.111417731,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,"Computer programming, consultancy and related services          ",SPEND-SIC-2022-62,GBP,kg CO2e,0.117653236,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,Information services              ,SPEND-SIC-2022-63,GBP,kg CO2e,0.200067475,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 3,Purchased Goods & Services,"Financial services, except insurance and pension funding         ",SPEND-SIC-2022-64,GBP,kg CO2e,0.094576304,,,,,,,,,,,,,, -   ,100%, -   ,
